indexDate;indexValue;changeRateVormonat;changeRateVorjahresmonat
Mär 18;1036;0.4;0.8
Apr 18;1038.1;0.2;0.8
Mai 18;1042.1;0.4;1
Jun 18;1042.1;0;1.1
Jul 18;1039.7;-0.2;1.2
Aug 18;1039.6;0;1.2
Sep 18;1040.2;0.1;1
Okt 18;1042;0.2;1.1
Nov 18;1039.4;-0.3;0.9
Dez 18;1036.7;-0.3;0.7
Jan 19;1034;-0.3;0.6
Feb 19;1038;0.4;0.6
Mär 19;1043.5;0.5;0.7
Apr 19;1045.5;0.2;0.7
Mai 19;1048.7;0.3;0.6
Jun 19;1048.4;0;0.6
Jul 19;1043;-0.5;0.3
Aug 19;1042.9;0;0.3
Sep 19;1041.7;-0.1;0.1
Okt 19;1039.4;-0.2;-0.3
Nov 19;1038;-0.1;-0.1
Dez 19;1038.3;0;0.2
Jan 20;1036.1;-0.2;0.2
Feb 20;1037.4;0.1;-0.1
Mär 20;1038.1;0.1;-0.5
Apr 20;1034.4;-0.4;-1.1
Mai 20;1034.8;0;-1.3
Jun 20;1035;0;-1.3
Jul 20;1033.4;-0.2;-0.9
Aug 20;1033.8;0;-0.9
Sep 20;1033.4;0;-0.8
Okt 20;1033.5;0;-0.6
Nov 20;1030.9;-0.2;-0.7
Dez 20;1029.9;-0.1;-0.8
Jan 21;1030.4;0.1;-0.5
Feb 21;1032.1;0.2;-0.5
Mär 21;1035.6;0.3;-0.2
Apr 21;1037.8;0.2;0.3
Mai 21;1040.5;0.3;0.6
Jun 21;1041.3;0.1;0.6
Jul 21;1040.4;-0.1;0.7
Aug 21;1043;0.2;0.9
Sep 21;1043.1;0;0.9
Okt 21;1046.3;0.3;1.2
Nov 21;1046.7;0;1.5
Dez 21;1045.6;-0.1;1.5
Jan 22;1047.4;0.2;1.6
Feb 22;1054.3;0.7;2.2
Mär 22;1060.3;0.6;2.4
Apr 22;1064.2;0.4;2.5
Mai 22;1071.1;0.7;2.9
Jun 22;1076.5;0.5;3.4
Jul 22;1076.1;0;3.4
Aug 22;1079;0.3;3.5
Sep 22;1077.1;-0.2;3.3
Okt 22;1077.6;0.1;3
Nov 22;1077.7;0;3
Dez 22;1075.3;-0.2;2.8
Jan 23;1081.8;0.6;3.3
